Game Date,Visitor,Visitor Score,Home,Home Score,Game URL,OT
20-11-2019 19:00,New York Knicks,104,Philadelphia 76ers,109,https://www.basketball-reference.com/boxscores/201911200PHI.html,
20-11-2019 19:00,San Antonio Spurs,132,Washington Wizards,138,https://www.basketball-reference.com/boxscores/201911200WAS.html,
20-11-2019 19:30,Milwaukee Bucks,135,Atlanta Hawks,127,https://www.basketball-reference.com/boxscores/201911200ATL.html,
20-11-2019 19:30,Charlotte Hornets,91,Brooklyn Nets,101,https://www.basketball-reference.com/boxscores/201911200BRK.html,
20-11-2019 19:30,Golden State Warriors,94,Dallas Mavericks,142,https://www.basketball-reference.com/boxscores/201911200DAL.html,
20-11-2019 19:30,Cleveland Cavaliers,100,Miami Heat,124,https://www.basketball-reference.com/boxscores/201911200MIA.html,
20-11-2019 19:30,Orlando Magic,97,Toronto Raptors,113,https://www.basketball-reference.com/boxscores/201911200TOR.html,
20-11-2019 20:00,Detroit Pistons,89,Chicago Bulls,109,https://www.basketball-reference.com/boxscores/201911200CHI.html,
20-11-2019 20:00,Utah Jazz,103,Minnesota Timberwolves,95,https://www.basketball-reference.com/boxscores/201911200MIN.html,
20-11-2019 21:00,Houston Rockets,95,Denver Nuggets,105,https://www.basketball-reference.com/boxscores/201911200DEN.html,
20-11-2019 22:00,Boston Celtics,104,Los Angeles Clippers,107,https://www.basketball-reference.com/boxscores/201911200LAC.html,OT
21-11-2019 20:00,Portland Trail Blazers,129,Milwaukee Bucks,137,https://www.basketball-reference.com/boxscores/201911210MIL.html,
21-11-2019 22:30,New Orleans Pelicans,124,Phoenix Suns,121,https://www.basketball-reference.com/boxscores/201911210PHO.html,
22-11-2019 19:00,Atlanta Hawks,103,Detroit Pistons,128,https://www.basketball-reference.com/boxscores/201911220DET.html,
22-11-2019 19:00,Charlotte Hornets,118,Washington Wizards,125,https://www.basketball-reference.com/boxscores/201911220WAS.html,
22-11-2019 19:30,Sacramento Kings,97,Brooklyn Nets,116,https://www.basketball-reference.com/boxscores/201911220BRK.html,
22-11-2019 20:00,Miami Heat,116,Chicago Bulls,108,https://www.basketball-reference.com/boxscores/201911220CHI.html,
22-11-2019 20:00,Los Angeles Lakers,130,Oklahoma City Thunder,127,https://www.basketball-reference.com/boxscores/201911220OKC.html,
22-11-2019 20:00,San Antonio Spurs,104,Philadelphia 76ers,115,https://www.basketball-reference.com/boxscores/201911220PHI.html,
22-11-2019 20:30,Cleveland Cavaliers,101,Dallas Mavericks,143,https://www.basketball-reference.com/boxscores/201911220DAL.html,
